County Name,Total Consumption MMBtu,Total Expenditure US Dollars
Adams,2902621.3627933706,33257257.322055686
Benton,15397470.425218452,225379120.99111602
Clark,35643149.59480515,550313075.832588
Pierce,55151179.59449821,962737904.3333123
Asotin,1201601.810909579,21519526.57879962
Cowlitz,27979934.453183122,322804281.6017541
Kittitas,2210114.424059102,41172621.846692786
Skamania,587502.4385571966,10335864.717937715
Franklin,7042107.086650727,93626926.98094079
Kitsap,11640990.4240425,239399108.71116728
Pacific,1060337.4951047585,22016991.521003768
Garfield,288016.3347757671,3821202.301161678
Lewis,7128869.187791548,106791612.22332732
Whitman,2470945.8679979136,42758835.927382015
Columbia,281465.7641272117,4845532.533863084
Yakima,18282281.151621036,292240700.2468963
Ferry,692807.8622303775,10712242.400178472
Island,3211192.115786884,69177356.87806605
Pend Oreille,4068089.7562237596,51446957.5111615
Thurston,16279360.330643142,338655120.9863496
Whatcom,15809678.89299551,253152415.7371087
Wahkiakum,187853.61562963805,3071572.7970995423
Douglas,1870713.8193191732,19759260.72502198
Okanogan,2004752.3726915217,35424071.263427764
Clallam,2969424.619328389,65374298.91882932
Grays Harbor,4309740.423939901,81935205.72308297
Klickitat,1933918.8866455497,28376350.98745363
Walla Walla,7153580.804964733,91882718.36553244
King,156649758.10263357,2792633742.8739257
Grant,10912646.19401889,121289738.4755953
Lincoln,918796.9155505894,14715077.189159663
San Juan,836985.1766882947,22032793.72308672
Chelan,4816476.806157075,52401388.505301416
Mason,2807895.566413705,51662111.711462945
Skagit,16592518.660470974,215022983.55467513
Jefferson,1714000.2861165402,36438705.596886486
Snohomish,40257508.94006719,700056097.8136063
Spokane,47637626.09959149,713384133.8681649
Stevens,2782659.5589571097,49101942.11765824
Columbia,10436652.806318456,96132273.69163328
Lake,329745.093513774,7598578.2796624005
Tillamook,3164812.1114083263,45122144.754280455
Crook,1132719.3072373094,21996792.460465044
Josephine,4443761.879781581,92392283.9634659
Lincoln,7691824.19425946,79854097.27414833
Curry,877395.1352702731,25071501.338077985
Multnomah,61833795.19546379,1125312340.3014493
Polk,3729412.077029139,69131113.90408804
Lane,26998761.23449822,529478361.2110879
Yamhill,8065381.646544812,136535146.68223155
Baker,1946783.3204114768,30732824.969352193
